,load_gw,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days
2014-12-29,5685.072916666667,3.4,1.6199999999999999,4.9799999999999995,14.6,0.0
2015-01-05,6467.083333333333,4.171428571428572,2.0285714285714285,6.528571428571429,13.82857142857143,0.0
2015-01-12,7540.803571428572,4.142857142857143,1.1285714285714286,7.042857142857144,13.857142857142858,0.0
2015-01-19,6855.744047619048,0.35714285714285715,-1.0,2.085714285714286,17.642857142857142,0.0
2015-01-26,7115.559523809524,1.2428571428571427,-0.4571428571428572,2.9714285714285715,16.757142857142856,0.0
2015-02-02,7884.0,-0.8571428571428571,-4.142857142857143,1.5999999999999999,18.857142857142858,0.0
2015-02-09,7934.833333333333,1.4714285714285713,-1.1428571428571428,5.228571428571429,16.52857142857143,0.0
2015-02-16,7673.934523809524,2.242857142857143,-0.6428571428571429,6.542857142857143,15.757142857142856,0.0
2015-02-23,7849.672619047619,2.7714285714285714,-0.7857142857142857,7.128571428571428,15.228571428571428,0.0
2015-03-02,7694.1547619047615,5.371428571428572,1.6428571428571428,9.342857142857143,12.628571428571428,0.0
2015-03-09,7574.0952380952385,5.2,1.9857142857142855,8.257142857142856,12.8,0.0
2015-03-16,7360.208333333333,5.014285714285714,0.7571428571428571,9.799999999999999,12.985714285714286,0.0
2015-03-23,6966.440476190476,7.414285714285714,3.814285714285714,11.242857142857144,10.585714285714285,0.0
2015-03-30,7006.107142857143,4.0,-0.1571428571428571,8.642857142857142,14.0,0.0
2015-04-06,6733.422619047619,9.4,4.171428571428572,13.942857142857141,8.6,0.0
2015-04-13,6543.476190476191,9.071428571428571,3.6000000000000005,14.099999999999998,8.928571428571429,0.0
2015-04-20,6552.214285714285,11.5,5.428571428571429,17.014285714285712,6.5,0.0
2015-04-27,6424.297619047619,10.742857142857144,5.828571428571428,15.085714285714285,7.257142857142856,0.0
2015-05-04,6291.172619047619,14.271428571428572,9.114285714285714,18.814285714285713,3.7285714285714278,0.0
2015-05-11,5417.785714285715,12.442857142857141,7.5,17.071428571428573,5.557142857142859,0.0
2015-05-18,6440.267857142857,13.87142857142857,8.728571428571428,18.314285714285713,4.12857142857143,0.0
2015-05-25,5953.732142857143,13.585714285714285,9.057142857142859,17.4,4.414285714285715,0.0
2015-06-01,6052.589285714285,18.142857142857142,12.228571428571428,23.114285714285717,0.0,0.0
2015-06-08,6314.208333333333,17.814285714285713,12.485714285714286,22.314285714285713,0.18571428571428683,0.0
2015-06-15,6464.714285714285,14.3,10.357142857142858,18.2,3.6999999999999993,0.0
2015-06-22,6369.857142857143,16.67142857142857,12.971428571428572,20.599999999999998,1.3285714285714292,0.0
2015-06-29,6533.392857142857,24.3,18.02857142857143,29.77142857142857,0.0,2.3000000000000007
2015-07-06,6565.369047619048,18.12857142857143,13.728571428571428,22.37142857142857,0.0,0.0
2015-07-13,6619.119047619048,19.928571428571427,15.842857142857143,23.942857142857143,0.0,0.0
2015-07-20,6543.136904761905,20.0,15.585714285714285,24.314285714285713,0.0,0.0
2015-07-27,5805.011904761905,18.285714285714285,13.142857142857142,22.957142857142856,0.0,0.0
