Model,RMSE,MAE
Mean,762.1198302433023,646.9132833466588
Naive,762.5744158862615,652.1597603785104
Seasonal Naive,424.4599650669771,325.75305250305246
Drift,978.9353157876136,833.8874681511801
SARIMA,295.13702149252896,226.62931975749396
SARIMAX,286.45306409590006,222.4040570984838
Gradient Boosting,274.1218875281543,206.16381292240683
LSTM,137.2940915201861,103.79047276048364
