utc_timestamp,load
2015-01-01 00:00:00+00:00,6292.916666666667
2015-01-02 00:00:00+00:00,5788.458333333333
2015-01-03 00:00:00+00:00,5445.458333333333
2015-01-04 00:00:00+00:00,5213.458333333333
2015-01-05 00:00:00+00:00,6765.875
2015-01-06 00:00:00+00:00,5949.25
2015-01-07 00:00:00+00:00,7276.416666666667
2015-01-08 00:00:00+00:00,7488.583333333333
2015-01-09 00:00:00+00:00,6363.583333333333
2015-01-10 00:00:00+00:00,5747.125
2015-01-11 00:00:00+00:00,5678.75
2015-01-12 00:00:00+00:00,7167.375
2015-01-13 00:00:00+00:00,7607.916666666667
2015-01-14 00:00:00+00:00,7761.375
2015-01-15 00:00:00+00:00,8262.666666666666
2015-01-16 00:00:00+00:00,7976.833333333333
2015-01-17 00:00:00+00:00,7062.875
2015-01-18 00:00:00+00:00,6946.583333333333
2015-01-19 00:00:00+00:00,6984.375
2015-01-20 00:00:00+00:00,7603.75
2015-01-21 00:00:00+00:00,6678.25
2015-01-22 00:00:00+00:00,6902.458333333333
2015-01-23 00:00:00+00:00,7068.208333333333
2015-01-24 00:00:00+00:00,6457.583333333333
2015-01-25 00:00:00+00:00,6295.583333333333
2015-01-26 00:00:00+00:00,7485.416666666667
2015-01-27 00:00:00+00:00,7330.666666666667
2015-01-28 00:00:00+00:00,7618.083333333333
2015-01-29 00:00:00+00:00,7489.75
2015-01-30 00:00:00+00:00,6667.666666666667
2015-01-31 00:00:00+00:00,6249.708333333333
2015-02-01 00:00:00+00:00,6967.625
2015-02-02 00:00:00+00:00,8496.208333333334
2015-02-03 00:00:00+00:00,8385.125
2015-02-04 00:00:00+00:00,8299.375
2015-02-05 00:00:00+00:00,7736.833333333333
2015-02-06 00:00:00+00:00,7870.833333333333
2015-02-07 00:00:00+00:00,7451.458333333333
2015-02-08 00:00:00+00:00,6948.166666666667
2015-02-09 00:00:00+00:00,8473.333333333334
2015-02-10 00:00:00+00:00,8348.083333333334
2015-02-11 00:00:00+00:00,8647.75
2015-02-12 00:00:00+00:00,8287.041666666666
2015-02-13 00:00:00+00:00,7961.083333333333
2015-02-14 00:00:00+00:00,7108.291666666667
2015-02-15 00:00:00+00:00,6718.25
2015-02-16 00:00:00+00:00,7923.041666666667
2015-02-17 00:00:00+00:00,7966.291666666667
2015-02-18 00:00:00+00:00,8305.5
2015-02-19 00:00:00+00:00,8120.916666666667
2015-02-20 00:00:00+00:00,8080.708333333333
2015-02-21 00:00:00+00:00,6597.5
2015-02-22 00:00:00+00:00,6723.583333333333
2015-02-23 00:00:00+00:00,8065.125
2015-02-24 00:00:00+00:00,8372.875
2015-02-25 00:00:00+00:00,8219.625
2015-02-26 00:00:00+00:00,8339.666666666666
2015-02-27 00:00:00+00:00,8174.291666666667
2015-02-28 00:00:00+00:00,7351.375
2015-03-01 00:00:00+00:00,6424.75
2015-03-02 00:00:00+00:00,7720.625
2015-03-03 00:00:00+00:00,7734.708333333333
2015-03-04 00:00:00+00:00,8289.791666666666
